,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,rooms_per_household,bedrooms_per_room,pop_per_household
0,-122.23,37.88,41.0,880.0,129.0,322.0,126.0,8.3252,452600.0,NEAR BAY,1.0238095238095237,0.14659090909090908,2.5555555555555554
1,-122.22,37.86,21.0,7099.0,1106.0,2401.0,1138.0,8.3014,358500.0,NEAR BAY,0.9718804920913884,0.15579659106916466,2.109841827768014
2,-122.24,37.85,52.0,1467.0,190.0,496.0,177.0,7.2574,352100.0,NEAR BAY,1.073446327683616,0.12951601908657123,2.8022598870056497
3,-122.25,37.85,52.0,1274.0,235.0,558.0,219.0,5.6431,341300.0,NEAR BAY,1.0730593607305936,0.18445839874411302,2.547945205479452
4,-122.25,37.85,52.0,1627.0,280.0,565.0,259.0,3.8462,342200.0,NEAR BAY,1.0810810810810811,0.1720958819913952,2.1814671814671813
5,-122.25,37.85,52.0,919.0,213.0,413.0,193.0,4.0368,269700.0,NEAR BAY,1.1036269430051813,0.23177366702937977,2.139896373056995
6,-122.25,37.84,52.0,2535.0,489.0,1094.0,514.0,3.6591,299200.0,NEAR BAY,0.9513618677042801,0.19289940828402366,2.1284046692607004
7,-122.25,37.84,52.0,3104.0,687.0,1157.0,647.0,3.12,241400.0,NEAR BAY,1.061823802163833,0.22132731958762886,1.7882534775888717
8,-122.26,37.84,42.0,2555.0,665.0,1206.0,595.0,2.0804,226700.0,NEAR BAY,1.1176470588235294,0.2602739726027397,2.026890756302521
9,-122.25,37.84,52.0,3549.0,707.0,1551.0,714.0,3.6912,261100.0,NEAR BAY,0.9901960784313726,0.1992110453648915,2.172268907563025
10,-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,281500.0,NEAR BAY,1.0796019900497513,0.19709355131698456,2.263681592039801
11,-122.26,37.85,52.0,3503.0,752.0,1504.0,734.0,3.2705,241800.0,NEAR BAY,1.0245231607629428,0.2146731373108764,2.0490463215258856
12,-122.26,37.85,52.0,2491.0,474.0,1098.0,468.0,3.075,213500.0,NEAR BAY,1.0128205128205128,0.1902850260939382,2.3461538461538463
13,-122.26,37.84,52.0,696.0,191.0,345.0,174.0,2.6736,191300.0,NEAR BAY,1.0977011494252873,0.2744252873563218,1.9827586206896552
14,-122.26,37.85,52.0,2643.0,626.0,1212.0,620.0,1.9167,159200.0,NEAR BAY,1.0096774193548388,0.23685206205069997,1.9548387096774194
15,-122.26,37.85,50.0,1120.0,283.0,697.0,264.0,2.125,140000.0,NEAR BAY,1.071969696969697,0.2526785714285714,2.640151515151515
16,-122.27,37.85,52.0,1966.0,347.0,793.0,331.0,2.775,152500.0,NEAR BAY,1.0483383685800605,0.17650050864699898,2.395770392749245
17,-122.27,37.85,52.0,1228.0,293.0,648.0,303.0,2.1202,155500.0,NEAR BAY,0.966996699669967,0.23859934853420195,2.1386138613861387
18,-122.26,37.84,50.0,2239.0,455.0,990.0,419.0,1.9911,158700.0,NEAR BAY,1.0859188544152745,0.20321572130415363,2.3627684964200477
19,-122.27,37.84,52.0,1503.0,298.0,690.0,275.0,2.6033,162900.0,NEAR BAY,1.0836363636363637,0.19827012641383898,2.5090909090909093
20,-122.27,37.85,40.0,751.0,184.0,409.0,166.0,1.3578,147500.0,NEAR BAY,1.108433734939759,0.24500665778961384,2.463855421686747
21,-122.27,37.85,42.0,1639.0,367.0,929.0,366.0,1.7135,159800.0,NEAR BAY,1.0027322404371584,0.2239170225747407,2.5382513661202184
22,-122.27,37.84,52.0,2436.0,541.0,1015.0,478.0,1.725,113900.0,NEAR BAY,1.1317991631799162,0.22208538587848933,2.1234309623430963
23,-122.27,37.84,52.0,1688.0,337.0,853.0,325.0,2.1806,99700.0,NEAR BAY,1.0369230769230768,0.19964454976303317,2.624615384615385
24,-122.27,37.84,52.0,2224.0,437.0,1006.0,422.0,2.6,132600.0,NEAR BAY,1.0355450236966826,0.19649280575539568,2.3838862559241707
25,-122.28,37.85,41.0,535.0,123.0,317.0,119.0,2.4038,107500.0,NEAR BAY,1.0336134453781514,0.22990654205607478,2.6638655462184873
26,-122.28,37.85,49.0,1130.0,244.0,607.0,239.0,2.4597,93800.0,NEAR BAY,1.0209205020920502,0.215929203539823,2.5397489539748954
27,-122.28,37.85,52.0,1898.0,421.0,1102.0,397.0,1.808,105500.0,NEAR BAY,1.0604534005037782,0.22181243414120128,2.7758186397984885
28,-122.28,37.84,50.0,2082.0,492.0,1131.0,473.0,1.6424,108900.0,NEAR BAY,1.040169133192389,0.23631123919308358,2.3911205073995774
29,-122.28,37.84,52.0,729.0,160.0,395.0,155.0,1.6875,132000.0,NEAR BAY,1.032258064516129,0.2194787379972565,2.5483870967741935
30,-122.28,37.84,49.0,1916.0,447.0,863.0,378.0,1.9274,122300.0,NEAR BAY,1.1825396825396826,0.23329853862212943,2.2830687830687832
31,-122.28,37.84,52.0,2153.0,481.0,1168.0,441.0,1.9615,115200.0,NEAR BAY,1.090702947845805,0.22340919647004182,2.6485260770975056
32,-122.27,37.84,48.0,1922.0,409.0,1026.0,335.0,1.7969,110400.0,NEAR BAY,1.2208955223880598,0.21279916753381894,3.062686567164179
33,-122.27,37.83,49.0,1655.0,366.0,754.0,329.0,1.375,104900.0,NEAR BAY,1.1124620060790273,0.22114803625377644,2.291793313069909
34,-122.27,37.83,51.0,2665.0,574.0,1258.0,536.0,2.7303,109700.0,NEAR BAY,1.0708955223880596,0.2153846153846154,2.3470149253731343
35,-122.27,37.83,49.0,1215.0,282.0,570.0,264.0,1.4861,97200.0,NEAR BAY,1.0681818181818181,0.23209876543209876,2.159090909090909
36,-122.27,37.83,48.0,1798.0,432.0,987.0,374.0,1.0972,104500.0,NEAR BAY,1.1550802139037433,0.24026696329254726,2.6390374331550803
37,-122.28,37.83,52.0,1511.0,390.0,901.0,403.0,1.4103,103900.0,NEAR BAY,0.967741935483871,0.25810721376571805,2.235732009925558
